ID,Authors_Catalog,Title_Catalog,Venue_Catalog,Year,ArXiv_ID,Authors_Actual,Title_Actual,Venue_Actual,Verdict,Error_Type,MA_Verified,Notes
A1,"Du et al.","Improving Factuality and Reasoning in LMs through Multiagent Debate","ICML 2024",2023,2305.14325,"Yilun Du, Shuang Li, Antonio Torralba, Joshua B. Tenenbaum, Igor Mordatch","Improving Factuality and Reasoning in Language Models through Multiagent Debate","ICML 2024",EXACT,,Yes,""
A2,"Liang et al.","Encouraging Divergent Thinking in LLMs through Multi-Agent Debate","EMNLP 2024",2023,2305.19118,"Tian Liang, Zhiwei He, Wenxiang Jiao, Xing Wang, Yan Wang, Rui Wang, Yujiu Yang, Shuming Shi, Zhaopeng Tu","Encouraging Divergent Thinking in Large Language Models through Multi-Agent Debate","EMNLP 2024",EXACT,,Yes,""
A3,"Hegazy","Diversity of Thought Elicits Stronger Reasoning in Multi-Agent Debate","arXiv",2024,2410.12853,"Mahmood Hegazy","Diversity of Thought Elicits Stronger Reasoning Capabilities in Multi-Agent Debate Frameworks","JRAR Vol.5 Issue 3",PARTIAL,venue_missing,Yes,"Published in JRAR but catalog says arXiv"
A4,"Wang et al.","Mixture-of-Agents Enhances LLM Capabilities","arXiv",2024,2406.04692,"Junlin Wang, Jue Wang, Ben Athiwaratkun, Ce Zhang, James Zou","Mixture-of-Agents Enhances Large Language Model Capabilities","arXiv",EXACT,,No,""
B1,"Qian et al.","Scaling LLM-based Multi-Agent Collaboration","ICLR 2025",2024,2406.07155,"Chen Qian, Zihao Xie et al.","Scaling Large Language Model-based Multi-Agent Collaboration","ICLR 2025",EXACT,,Yes,""
B2,"Li et al.","More Agents Is All You Need","arXiv",2024,2402.05120,"Junyou Li, Qin Zhang, Yangbin Yu, Qiang Fu, Deheng Ye","More Agents Is All You Need","TMLR",PARTIAL,venue_missing,No,"Published in TMLR but catalog says arXiv"
C1,"Han & Zhang","Exploring Advanced LLM MAS Based on Blackboard Architecture","arXiv",2025,2507.01701,"Bochen Han, Songmao Zhang","Exploring Advanced LLM Multi-Agent Systems Based on Blackboard Architecture","arXiv",EXACT,,Yes,""
C2,"Li et al.","LLM-Based Multi-Agent Blackboard System for Info Discovery in DS","arXiv",2025,2510.01285,"Alireza Salemi, Mihir Parmar, Palash Goyal, Yiwen Song, Jinsung Yoon, Hamed Zamani, Tomas Pfister, Hamid Palangi","LLM-Based Multi-Agent Blackboard System for Information Discovery in Data Science","arXiv",FAIL,author_wrong,No,"No Li in author list. First author is Salemi."
D1,"Hong et al.","MetaGPT: Meta Programming for Multi-Agent Collaborative Framework","ICLR 2024",2023,2308.00352,"Sirui Hong et al.","MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework","ICLR 2024 Oral",EXACT,,No,""
D2,"Qian et al.","ChatDev: Communicative Agents for Software Development","ACL 2024",2023,2307.07924,"Chen Qian, Wei Liu et al.","ChatDev: Communicative Agents for Software Development","ACL 2024",EXACT,,No,""
D3,"Chen et al.","AgentVerse: Facilitating Multi-Agent Collaboration","arXiv",2023,2308.10848,"Weize Chen et al.","AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors","arXiv",EXACT,,No,""
E1,"La Malfa et al.","Large Language Models Miss the Multi-Agent Mark","NeurIPS 2025",2025,2505.21298,"Emanuele La Malfa et al.","Large Language Models Miss the Multi-Agent Mark","NeurIPS 2025 Position",EXACT,,No,""
E2,"Google DeepMind","Towards a Science of Scaling Agent Systems","arXiv",2025,2512.08296,"Yubin Kim et al. (multi-institutional)","Towards a Science of Scaling Agent Systems","arXiv",EXACT,,Yes,""
E3,"Li et al.","Rethinking Mixture-of-Agents","arXiv",2025,2502.00674,"Wenzhe Li, Yong Lin, Mengzhou Xia, Chi Jin","Rethinking Mixture-of-Agents: Is Mixing Different Large Language Models Beneficial?","arXiv",EXACT,,No,""
E4,"Basil et al.","Prompting Science Report 4: Playing Pretend","SSRN",2025,SSRN:5879722,"Savir Basil, Ina Shapiro, Dan Shapiro, Ethan R. Mollick, Lilach Mollick, Lennart Meincke","Prompting Science Report 4: Playing Pretend: Expert Personas Don't Improve Factual Accuracy","SSRN + arXiv:2512.05858",EXACT,,No,""
E5,"Smit et al.","Should we be going MAD?","ICML 2024",2024,2311.17371,"Andries Smit, Paul Duckworth, Nathan Grinsztajn, Thomas D. Barrett, Arnu Pretorius","Should we be going MAD? A Look at Multi-Agent Debate Strategies for LLMs","ICML 2024",EXACT,,No,""
E6,"Wynn et al.","Talk Isn't Always Cheap: Failure Modes in Multi-Agent Debate","ICML 2025",2025,2509.05396,"Andrea Wynn, Harsh Satija, Gillian Hadfield","Talk Isn't Always Cheap: Understanding Failure Modes in Multi-Agent Debate","ICML MAS Workshop 2025",PARTIAL,venue_inflated,No,"Workshop paper cited as main conference"
E7,"Zhao et al.","Single-agent or Multi-agent Systems? Why Not Both?","arXiv",2025,2505.18286,"Mingyan Gao, Yanzi Li, Banruo Liu, Yifan Yu, Phillip Wang, Ching-Yu Lin, Fan Lai","Single-agent or Multi-agent Systems? Why Not Both?","arXiv",FAIL,author_wrong,No,"No Zhao in author list. First author is Gao."
E8,"Cemri et al.","Why Do Multi-Agent LLM Systems Fail? (MAST)","arXiv",2025,2503.13657,"Mert Cemri et al.","Why Do Multi-Agent LLM Systems Fail?","arXiv",EXACT,,No,""
E9,"(unknown)","From Spark to Fire: Error Cascades in LLM-Based MAS","arXiv",2026,2603.04474,"Yizhe Xie et al.","From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration","arXiv",EXACT,,No,""
E10,"(unknown)","AgentArk: Distilling Multi-Agent Intelligence","arXiv",2026,2602.03955,"Yinyi Luo et al.","AgentArk: Distilling Multi-Agent Intelligence into a Single LLM Agent","arXiv",EXACT,,No,""
F1,"Sharma et al.","Towards Understanding Sycophancy in Language Models","ICLR 2024",2024,2310.13548,"Mrinank Sharma, Meg Tong et al.","Towards Understanding Sycophancy in Language Models","ICLR 2024",EXACT,,No,""
G1,"(survey)","A Survey on LLM-as-a-Judge","arXiv",2024,2411.15594,"Jiawei Gu et al.","A Survey on LLM-as-a-Judge","arXiv",EXACT,,No,""
G2,"(unknown)","MAJ-Eval: Multi-Agent-as-Judge","arXiv",2025,2507.21028,"Jiaju Chen et al.","Multi-Agent-as-Judge: Aligning LLM-Agent-Based Automated Evaluation","arXiv",EXACT,,No,""
H1,"Liu et al.","Lost in the Middle: How LMs Use Long Contexts","TACL 2024",2023,2307.03172,"Nelson F. Liu et al.","Lost in the Middle: How Language Models Use Long Contexts","TACL 2024",EXACT,,No,""
H2,"(unknown)","Lost in the Haystack","arXiv",2025,2505.18148,"Owen Bianchi et al.","Hidden in the Haystack: Smaller Needles are More Difficult for LLMs to Find","arXiv",PARTIAL,title_wrong,No,"Title is Hidden not Lost"
I1,"Tam et al.","Let Me Speak Freely? Format Restrictions on LLM Performance","arXiv",2024,2408.02442,"Zhi Rui Tam et al.","Let Me Speak Freely? A Study on the Impact of Format Restrictions on Performance of Large Language Models","arXiv",EXACT,,No,""
J1,"Hofmeister et al.","General Model of Software Architecture Design","JSS",2007,N/A,"Hofmeister, Kruchten, Nord, Obbink, Ran, America","A general model of software architecture design derived from five industrial approaches","JSS Vol.80",EXACT,,No,""
J2,"(unknown)","AutoTRIZ","arXiv",2024,2403.13002,"Shuo Jiang et al.","AutoTRIZ: Automating Engineering Innovation with TRIZ and LLMs","Adv. Eng. Informatics Vol.65 2025",PARTIAL,venue_missing,No,"Published in journal but catalog says arXiv"
J3,"(unknown)","TRIZ Agents","arXiv",2025,2506.18783,"Kamil Szczepanik, Jaroslaw A. Chudziak","TRIZ Agents: A Multi-Agent LLM Approach for TRIZ-Based Innovation","ICAART 2025",PARTIAL,venue_missing,No,"Published at ICAART 2025 but catalog says arXiv"
J4,"Kluender","TRIZ for Software Architecture","ScienceDirect",2011,N/A,,,,,No,"NOT VERIFIED — paywall"
J5,"(unknown)","AI-driven FMEA","Cambridge Design Science",2025,N/A,,,,,No,"NOT VERIFIED — paywall"
J6,"(unknown)","LLM + MCDM","arXiv",2025,2502.15778,"Hui Wang, Fafa Zhang, Chaoxu Mu","One for All: A General Framework of LLMs-based Multi-Criteria Decision Making","arXiv",EXACT,,No,""
J7,"(unknown)","Six Thinking Hats + Design Creativity","ScienceDirect",unknown,N/A,,,,,No,"NOT VERIFIED — paywall"
J8,"Eric Evans","LLM + DDD","InfoQ",2024,N/A,,,,,No,"NOT VERIFIED — web article"
J9,"(unknown)","Human Analogical Guidance Amplifies LLM Performance","Nature Comms",2026,N/A,"Larraz, Corma","Human analogical guidance amplifies LLM performance through cross-domain knowledge activation","Nature Communications 2026",EXACT,,No,""
K1a,"(unknown)","SwarmBench","arXiv",2025,2505.04364,"Kai Ruan et al.","Benchmarking LLMs' Swarm intelligence","arXiv",PARTIAL,title_informal,No,"SwarmBench is not the actual title"
K1b,"(unknown)","MAS Swarm Intelligence","arXiv",2025,2503.03800,"Cristian Jimenez-Romero et al.","Multi-Agent Systems Powered by LLMs: Applications in Swarm Intelligence","arXiv",EXACT,,No,""
K4,"(unknown)","LLM-assisted ADD","arXiv",2025,2506.22688,"Humberto Cervantes et al.","An LLM-assisted approach to designing software architectures using ADD","arXiv",EXACT,,No,""
K5,"(unknown)","CodeAgents","arXiv",2025,2507.03254,"Bruce Yang et al.","CodeAgents: A Token-Efficient Framework for Codified Multi-Agent Reasoning in LLMs","arXiv",EXACT,,No,""
K6,"(unknown)","Rethinking Bounds of LLM Reasoning","ACL 2024",2024,N/A,"Qineng Wang et al.","Rethinking the Bounds of LLM Reasoning: Are Multi-Agent Discussions the Key?","ACL 2024",EXACT,,No,""
